Dependent Variable,Product,Geography,Variables,Detailed Group,Broad Group,Historical Dep. Variable Sum,Take Rate Elasticity,Base in Latest Week,Life Curve in Latest Week,Life Curve Annual Decay Rate,Historical Spend Full Model Period,Historical Raw Causal Sum Full Model Period,"Historical Causal Sum After Adstocking, Full Model Period",Historical Causal Sum After Adstocking And Curve Applied,Corporate Activity,Coefficient,Driver1,Symmetry,Volume1,Linearity Increment,Linearity Weight,SPEND_A,SPEND_B,SPEND_C,SPEND_D,SUPPORT_A,SUPPORT_B,SUPPORT_C,SUPPORT_D,Media Metric,CPP Measure,Start Date_Full_Model,End Date_Full_Model,CPP_Full_Model,Spends_Full_Model,Number of Weeks_Full_Model,Total Sales_Full_Model,Total Base Sales_Full_Model,Avg Causal Raw_Full_Model,Execution Weeks_Full_Model,Decomps_Full_Model,MSRP_Full_Model,ST ROI_Full_Model,Elasticity_Full_Model,Start Date_Latest_Year,End Date_Latest_Year,CPP_Latest_Year,Spends_Latest_Year,Number of Weeks_Latest_Year,Total Sales_Latest_Year,Total Base Sales_Latest_Year,Avg Causal Raw_Latest_Year,Execution Weeks_Latest_Year,Decomps_Latest_Year,MSRP_Latest_Year,ST ROI_Latest_Year,Elasticity_Latest_Year,Start Date_Prior_Year,End Date_Prior_Year,CPP_Prior_Year,Spends_Prior_Year,Number of Weeks_Prior_Year,Total Sales_Prior_Year,Total Base Sales_Prior_Year,Avg Causal Raw_Prior_Year,Execution Weeks_Prior_Year,Decomps_Prior_Year,MSRP_Prior_Year,ST ROI_Prior_Year,Elasticity_Prior_Year
Sales,Dish Care,National,TV M Fiyat & Promosyon,TV M,Media,694690,0,2589.333476,1,0,1569098.167,998.9029999,2000.988235,78.68521204,0,255.819011,0.00570719,2,1,0,0,50970.50501,97236.04033,153695.6766,232895.9997,32.44831422,61.90139944,97.8441475,148.2638357,GRPs,CPP,06-Dec-15,02-Dec-18,1570.821358,1569098.167,157,694690,659676.3566,99.89029999,10,1820.796547,1483.848576,1.78825095,,10-Dec-17,02-Dec-18,1380.982501,760455.967,52,199521.4213,194757.5839,110.1326,5,903.4758059,1809.871105,2.143798184,,11-Dec-16,03-Dec-17,1804.038462,808642.2,52,255542.4466,237858.8865,89.64799999,5,917.3207411,1379.988248,1.453890442,
Sales,Dish Care,National,TV M Kampanya,TV M,Media,694690,0,2589.333476,1,0,555185.61,259.476,315.1951585,21.52947134,0,78.43160612,0.01340953,2,1,0,0,49319.27621,93354.34426,147957.8286,221936.743,23.05025253,43.63083515,69.1507576,103.7261364,GRPs,CPP,06-Dec-15,02-Dec-18,2139.64147,555185.61,157,694690,659676.3566,86.492,3,1411.768889,1483.848576,3.155146107,,10-Dec-17,02-Dec-18,0,0,52,199521.4213,194757.5839,0,1,0,1809.871105,0,,11-Dec-16,03-Dec-17,0,0,52,255542.4466,237858.8865,0,0,0.000339322,1379.988248,0,
Sales,Dish Care,National,TV NM Ceyiz Kampanyasi,TV NM,Media,694690,0,2589.333476,1,0,113158.5,74.20229509,118.0622538,20.7315321,1,331.9521859,0.01084342,2,1,0,0,33546.2637,63258.6687,98721.86175,148562.025,21.99754997,41.48109423,64.73564705,97.4177213,GRPs,CPP,06-Dec-15,02-Dec-18,1525,113158.5,157,694690,659676.3566,37.10114755,2,223.6409323,1483.848576,3.33115093,,10-Dec-17,02-Dec-18,1525,113158.5,52,199521.4213,194757.5839,37.10114755,2,223.6409323,1809.871105,3.33115093,,11-Dec-16,03-Dec-17,0,0,52,255542.4466,237858.8865,0,0,0,1379.988248,0,
Sales,Dish Care,National,TV NM Degisim Kampanyasi,TV NM,Media,694690,0,2589.333476,1,0,529121.85,346.9651475,598.6784134,41.03585378,1,42.63466086,0.02114664,2,1,0,0,15908.6967,30049.76043,46842.27363,70705.31867,10.43193226,19.70476094,30.716245,46.36414339,GRPs,CPP,06-Dec-15,02-Dec-18,1525,529121.85,157,694690,659676.3566,38.55168306,9,1983.99263,1483.848576,4.700916723,,10-Dec-17,02-Dec-18,0,0,52,199521.4213,194757.5839,0,1,0,1809.871105,0,,11-Dec-16,03-Dec-17,1525,388877.85,52,255542.4466,237858.8865,36.42883841,7,1494.231623,1379.988248,4.824046427,
Sales,Dish Care,National,TV NM FIC,TV NM,Media,694690,0,2589.333476,1,0,347746.8381,228.0307135,393.4604578,122.8513439,0,6.299398412,0.05754773,2,1,0,0,6186.715384,11489.61428,16792.51319,25630.67802,4.056862547,7.534173301,11.01148406,16.80700198,GRPs,CPP,06-Dec-15,02-Dec-18,1525,347746.8381,157,694690,659676.3566,5.303039849,43,830.686231,1483.848576,3.03454128,,10-Dec-17,02-Dec-18,0,0,52,199521.4213,194757.5839,0,1,0,1809.871105,0,,11-Dec-16,03-Dec-17,1525,52179.2476,52,255542.4466,237858.8865,6.843180013,5,144.3102692,1379.988248,3.560675779,
Sales,Dish Care,National,TV NM Fiyat & Promosyon,TV NM,Media,694690,0,2589.333476,1,0,464874.4,304.8356721,609.6713443,61.62266022,0,270.0329134,0.01009093,2,1,0,0,28212.5,54137.5,84637.5,127337.5,18.5,35.5,55.5,83.5,GRPs,CPP,06-Dec-15,02-Dec-18,1525,464874.4,157,694690,659676.3566,38.10445902,8,746.4983698,1483.848576,2.192954689,,10-Dec-17,02-Dec-18,1525,99314,52,199521.4213,194757.5839,32.56196721,2,188.9812146,1809.871105,3.054369886,,11-Dec-16,03-Dec-17,1525,365560.4,52,255542.4466,237858.8865,39.95195628,6,557.5171552,1379.988248,1.958928824,
Sales,Dish Care,National,TV NM Kampanya,TV NM,Media,694690,0,2589.333476,1,0,352986.48,231.4665443,399.3888852,33.88023251,0,22.33890713,0.01539818,2,1,0,0,22095.41209,40655.55824,64518.60328,97219.81317,14.48879481,26.65938245,42.30728084,63.75069716,GRPs,CPP,06-Dec-15,02-Dec-18,1525,352986.48,157,694690,659676.3566,46.29330885,5,668.3237108,1483.848576,2.343008508,,10-Dec-17,02-Dec-18,0,0,52,199521.4213,194757.5839,0,1,0,1809.871105,0,,11-Dec-16,03-Dec-17,0,0,52,255542.4466,237858.8865,0,0,0.176358746,1379.988248,0,
Sales,Laundry,National,Digital - Display MC,DIGITAL,Media,1078320,0,2705.775365,1,0,3098013.913,67686.8553,82221.74338,107.8023528,1,290.0068229,0.001111087,2,1,0,0,12396.31441,24001.3747,38017.87553,57497.79805,270.84047,524.39325,830.63231,1256.23876,Impressions,CPP,06-Dec-15,02-Dec-18,45.769801,3098013.913,157,1078320,1035493.708,752.07617,90,7879.743264,1909.886667,4.480762396,,10-Dec-17,02-Dec-18,40.369329,120103.25,52,353525,342082.5103,330.56793,9,374.5793598,2301.92,6.285732474,,11-Dec-16,03-Dec-17,25.656356,709973.9922,52,392214.2693,297656.4419,768.6789,36,4251.203594,1783.92,10.91998271,
Sales,Laundry,National,Digital - VOD LAUNDRY,DIGITAL,Media,1078320,0,2705.775365,1,0,100000,1666.833,2876.072548,38.86337439,0,2348.833527,0.000357034,2,1,0,0,80735.0989,156567.6789,248185.6744,375477.3182,1345.719262,2609.721721,4136.840694,6258.579806,Impressions,CPP,06-Dec-15,02-Dec-18,59.994013,100000,157,1078320,1035493.708,416.70825,4,599.4989262,1909.886667,12.07604231,,10-Dec-17,02-Dec-18,59.994013,100000,52,353525,342082.5103,416.70825,4,599.4989262,2301.92,12.07604231,,11-Dec-16,03-Dec-17,0,0,52,392214.2693,297656.4419,0,0,0,1783.92,0,
Sales,Laundry,National,OOH Duvar ALL,OOH,Media,1078320,0,2705.775365,1,0,2199190.155,2199190.155,2760557.702,61.85693672,0,37.82704024,7.70E-05,2,1,0,0,3784.073497,7329.152879,11591.21461,17526.23515,3784.073497,7329.152879,11591.21461,17526.23515,Spends,CPP,06-Dec-15,02-Dec-18,1,2199190.155,157,1078320,1035493.708,22672.06346,97,2026.086782,1909.886667,2.084483579,,10-Dec-17,02-Dec-18,1,1954239.316,52,353525,342082.5103,37581.52532,52,1967.149938,2301.92,2.289648892,,11-Dec-16,03-Dec-17,1,244950.8388,52,392214.2693,297656.4419,5443.351973,45,58.93684378,1783.92,0.447656681,
